Accreditation,Address,Sum of Bed_Count,City,Hospital_ID,Hospital_Name,Hospital_Type,Phone,Sum of Rating,State,Zip_Code
CARF,1161 Elm St,114,Los Angeles,HOSP00738,Mercy Hospital,Community,(955) 839-2616,1.6,VA,35029
CARF,1198 Main Ave,116,Unknown,HOSP00494,Lakeside Health,Trauma Center,Unknown,2.3,CA,92705
CARF,1320 Lake St,583,New York,HOSP00900,General Hospital,Rehabilitation,(366) 896-4790,4,Unknown,51906
CARF,1354 Oak Ave,733,Unknown,HOSP00070,City Health Clinic,Rehabilitation,(793) 496-3310,2.8,OH,49475
CARF,1389 Hill Ave,510,Los Angeles,HOSP00285,Sunrise Medical,Specialty,(777) 729-4098,3.9,NJ,34059
CARF,152 Main St,60,Unknown,HOSP00376,REGIONAL MEDICAL CENTER,Trauma Center,(850) 900-1380,4.1,Unknown,59490
CARF,1635 Elm St,302,Phoenix,HOSP00202,Metro Medical Center,Psychiatric,(263) 566-8086,1.1,WA,89613
CARF,1816 Oak Ave,322,Chicago,HOSP00671,St. Mary Medical Center,Community,(406) 657-8329,2.2,Unknown,42315
CARF,1866 Elm St,539,New York,HOSP00325,General Hospital,General,(473) 276-8653,4.7,NY,41366
CARF,1923 Lake Ave,67,Los Angeles,HOSP00873,REGIONAL MEDICAL CENTER,Unknown,(356) 696-1169,3.3,OH,14835
CARF,1939 Hill St,477,New York,HOSP00802,Community Hospital,Trauma Center,(344) 610-5028,3.1,MI,13359
CARF,2012 Lake St,699,Phoenix,HOSP00033,Valley View Hospital,Community,(668) 880-4425,4.7,NC,90358
CARF,2039 Oak Ave,922,Los Angeles,HOSP00961,Community Hospital,Trauma Center,(720) 386-2314,0,FL,79546
CARF,2171 Elm Ave,1011,Phoenix,HOSP00094,Lakeside Health,Community,(402) 829-4018,3.9,VA,86358
CARF,2412 Lake St,694,Phoenix,HOSP00187,Mercy Hospital,Unknown,(290) 585-3940,2,FL,98419
CARF,2415 Oak Ave,600,Dallas,HOSP00233,Unknown,General,(524) 778-8506,2.2,Unknown,96945
CARF,2453 Lake St,914,Dallas,HOSP00011,Lakeside Health,Psychiatric,(265) 999-6200,3.6,TX,85273
CARF,2473 Main Ave,703,New York,HOSP00179,Unknown,Teaching,(598) 582-5129,4.3,MI,59942
CARF,262 Main Ave,918,New York,HOSP00698,Metro Medical Center,Community,(236) 313-8178,3.2,MI,66438
CARF,2668 Elm Ave,557,Phoenix,HOSP00224,Sunrise Medical,Teaching,(891) 469-5674,4.2,NY,12358
CARF,2682 Lake Ave,659,Los Angeles,HOSP00648,Lakeside Health,Psychiatric,(944) 468-6164,0,FL,0
CARF,2746 Main St,671,Dallas,HOSP00007,Unknown,Trauma Center,(915) 561-2818,2.8,NC,83402
CARF,283 Park Ave,265,Houston,HOSP00460,Lakeside Health,Community,(743) 758-9545,3.9,AZ,0
CARF,2889 Main Ave,1017,Los Angeles ,HOSP00766,Regional Medical Center ,Community,(374) 461-9437,4.6,PA,83787
CARF,2991 Lake St,299,Dallas,HOSP00237,Valley View Hospital,Specialty,(932) 387-6062,3.9,Unknown,54822
CARF,2997 Lake Ave,0,New York,HOSP00053,Lakeside Health,Specialty,(214) 502-2567,4.6,WA,75295
CARF,3009 Hill Ave,351,Phoenix,HOSP00267,Metro Medical Center,Teaching,(420) 121-6890,3.6,NC,50033
CARF,3058 Elm St,1055,New York,HOSP00472,St. Mary Medical Center,Trauma Center,(441) 661-5185,3.9,NC,44494
