Hospital_ID,Hospital_Name,Address,City,State,Zip_Code,Bed_Count,Hospital_Type,Rating,Accreditation,Phone
HOSP00001,City Health Clinic,6044 Hill St,New York,,37870,86,Psychiatric,1.2,joint commission,(526) 775-1533
HOSP00002,City Health Clinic,5454 Lake St,New York,MA,66771,692,Trauma Center,2.8,joint commission,(691) 605-1601
HOSP00003,REGIONAL MEDICAL CENTER,7767 Hill Ave,Los Angeles,PA ,78945,395,Rehabilitation,3.9,DNV,(943) 981-7649
HOSP00004,CITY HEALTH CLINIC,2754 Park St,Houston,NC,50735,635,Teaching,2.4,Joint Commission,(869) 862-4167
HOSP00005,Lakeside Health,3720 Main St,New York,TX,65783,669,Teaching,1.6,JCI,(920) 783-9019
HOSP00006,Community Hospital,750 Park Ave,Dallas,NJ,70026,94,Teaching,3.5,CARF,
HOSP00007,,2746 Main St,Dallas,NC,83402,671,Trauma Center,2.8,CARF,(915) 561-2818
HOSP00008,Mercy Hospital,8958 Hill Ave,Chicago,NC,49971,142,Teaching,3.1,joint commission,(465) 675-1288
HOSP00009,Valley View Hospital,6680 Lake St,,FL,33773,81,Rehabilitation,,DNV,(572) 766-1474
HOSP00010,,2973 Elm Ave,Houston,IL,68869,1027,,1.2,,(360) 588-4460
HOSP00011,Lakeside Health,2453 Lake St,Dallas,TX,85273,914,Psychiatric,3.6,CARF,(265) 999-6200
HOSP00012,General Hospital,8993 Lake St,Dallas,CA,79339,1158,,1.9,,(422) 872-7750
HOSP00013,General Hospital,9450 Oak Ave,New York,MA,82038,69,,4.2,joint commission,(536) 767-3881
HOSP00014,Valley View Hospital,9731 Lake St,Los Angeles,VA ,99340,386,Psychiatric,3.8,DNV,(547) 546-8760
HOSP00015,Sunrise Medical,7815 Park Ave,Phoenix,WA ,72950,88,Psychiatric,4.6,CARF,(575) 797-9244
HOSP00016,General Hospital,4614 Oak Ave,Chicago,,58282,861,Specialty,,DNV,(434) 538-1911
HOSP00017,Regional Medical Center,2155 Oak Ave,Dallas,AZ,31056,99,Community,2.5,,(719) 520-8765
HOSP00018,Metro Medical Center,9264 Lake Ave,Phoenix,GA,57714,382,Rehabilitation,3.0,JCI ,(230) 448-9700
HOSP00019,Community Hospital,1588 Hill St,Phoenix,GA,78713,260,Specialty,4.5,None,(882) 545-2810
HOSP00020,Mercy Hospital,5856 Lake St,Dallas,MA,40438,714,Teaching,1.1,None,(857) 724-1407
HOSP00021,Metro Medical Center,4968 Lake St,Houston,PA,83226,409,Teaching,4.8,None,(777) 824-4130
HOSP00022,Community Hospital,2854 Hill St,Los Angeles,NJ,19645,866,Psychiatric,4.7,,(276) 533-3127
HOSP00023,Regional Medical Center,9441 Main Ave,Houston,NY,29155,723,Rehabilitation,4.5,None,(496) 870-5137
HOSP00024,Regional Medical Center ,1999 Main St,Chicago,NC,33464,693,Psychiatric,1.0,JCI,(549) 763-1646
HOSP00025,Mercy Hospital,7624 Oak Ave,Chicago,OH,18056,176,Rehabilitation,1.2,,
HOSP00026,Sunrise Medical,9114 Main St,Phoenix,FL,36439,744,General,4.9,Joint Commission,(992) 295-3525
HOSP00027,St. Mary Medical Center,4809 Main Ave,Chicago,AZ,95046,180,Rehabilitation,3.3,CARF,(281) 293-7447
HOSP00028,Lakeside Health,7815 Park St,Dallas,GA,42541,645,Specialty,1.4,Joint Commission,(438) 763-9402
HOSP00029,General Hospital,8292 Park St,Dallas,VA,69022,168,Rehabilitation,1.5,DNV ,(898) 415-8311
HOSP00030,Mercy Hospital,2951 Lake St,Phoenix ,,71024,58,General,1.2,joint commission,(814) 882-2477
HOSP00031,Valley View Hospital,4162 Elm Ave,Chicago,GA,11964,261,Teaching,3.6,,(316) 938-2575
HOSP00032,Regional Medical Center,1901 Oak Ave,Phoenix,FL,52502,397,General,2.4,JCI,(623) 593-8058
HOSP00033,Valley View Hospital,2012 Lake St,Phoenix,NC,90358,699,Community,4.7,CARF,(668) 880-4425
HOSP00034,St. Mary Medical Center,8548 Oak St,Phoenix,MI,11741,753,Trauma Center,2.0,CARF,(227) 833-8722
HOSP00035,St. Mary Medical Center,1029 Hill St,New York,IL,24312,862,Community,3.7,,(328) 518-2466
HOSP00036,St. Mary Medical Center ,7252 Elm St,Houston ,GA,66942,835,Trauma Center,4.4,,(933) 102-4999
HOSP00037,General Hospital,1460 Elm Ave,Dallas,MA,25844,346,General,4.6,,(497) 501-8083
HOSP00038,St. Mary Medical Center,3987 Park Ave,New York,PA,67230,,Teaching,4.2,None,(244) 535-5933
HOSP00039,LAKESIDE HEALTH,4684 Elm Ave,Phoenix,VA,19783,331,Psychiatric,2.2,DNV,(584) 651-5649
HOSP00040,Community Hospital,4125 Park Ave,Houston,,,1009,Specialty,2.1,JCI,(887) 931-6325
HOSP00041,Regional Medical Center,8628 Lake Ave,Houston,NC,81123,,Rehabilitation,1.2, ,(436) 274-6883
HOSP00042,City Health Clinic,4343 Elm St,Phoenix,MA,97703,233,Teaching,2.9,DNV,(655) 457-2516
HOSP00043,Sunrise Medical,9938 Elm Ave,Chicago,CA,91794,333,Teaching,1.6,JCI,(586) 350-7324
HOSP00044,Community Hospital ,177 Elm Ave,Phoenix,IL,17075,796,Specialty,4.2,DNV,(678) 635-4140
HOSP00045,Lakeside Health,6653 Park Ave,Phoenix,PA,56020,1038,Trauma Center,2.3,JCI,(925) 621-5815
HOSP00046,,7746 Main St,Los Angeles,NJ,19061,628,Trauma Center,2.8,joint commission,(920) 133-7664
HOSP00047,,6644 Oak Ave,New York,FL,15281,883,Specialty,1.1,None,(539) 781-3256
HOSP00048,St. Mary Medical Center,7993 Elm Ave,Chicago,IL,67236,537,Community,1.7,,(973) 153-8450
HOSP00049,Metro Medical Center,3039 Lake Ave,Houston,CA,36955,829,General,3.1,DNV,(656) 336-6280
HOSP00050,Community Hospital,9059 Oak Ave,New York,CA,69304,1091,Trauma Center,1.6,CARF,(949) 183-7157
HOSP00051,Lakeside Health,6663 Park St,Los Angeles,TX,60491,587,Community,4.4,CARF,(862) 657-7157
HOSP00052,Metro Medical Center,5614 Lake Ave,Los Angeles,AZ,28908,206,General,4.3,,(824) 277-5213
HOSP00053,Lakeside Health,2997 Lake Ave,New York,WA,75295,,Specialty,4.6,CARF,(214) 502-2567
HOSP00054,Mercy Hospital,4413 Lake St,Chicago,AZ,36723,328,Psychiatric,3.2,DNV,(417) 268-7777
HOSP00055,Lakeside Health,5336 Park St,Los Angeles,GA,69077,372,Teaching,1.8,,(293) 301-3402
HOSP00056,City Health Clinic,3981 Hill Ave,,VA,10107,593,General,1.6,CARF,(535) 582-8908
HOSP00057,Mercy Hospital,59 Lake Ave,Phoenix,NC,27454,626,Community,1.7,DNV ,(307) 431-5138
HOSP00058,Regional Medical Center ,7045 Lake Ave,New York,GA,21613,1190,Teaching,3.5,CARF,
HOSP00059,City Health Clinic,3823 Elm St,Houston,OH,41343,1171,Psychiatric,4.0,joint commission,(320) 637-5140
HOSP00060,Mercy Hospital,7251 Hill Ave,,IL,,487,General,2.0,Joint Commission,(866) 528-4325
HOSP00061,Valley View Hospital,3125 Main Ave,Phoenix,AZ,94350,827,,3.6,JCI,(768) 872-4752
HOSP00062,General Hospital,6153 Oak Ave,Los Angeles,IL,53690,1040,Teaching,4.5,DNV,(494) 393-5930
HOSP00063,Regional Medical Center,4289 Park Ave,New York,OH,71469,73,,,DNV,(563) 716-5657
HOSP00064,General Hospital ,9508 Elm St,Dallas,TX,61459,366,,1.9,JCI,(513) 415-2160
HOSP00065,General Hospital,3323 Oak St,Los Angeles,VA,81981,249,Psychiatric ,1.8,CARF,(669) 465-3137
HOSP00066,General Hospital,2411 Park Ave,Houston,NY,36446,922,Trauma Center,2.6,JCI,(338) 948-8818
HOSP00067,Valley View Hospital,449 Main St,Los Angeles,GA,58619,441,General,4.8,CARF,(479) 935-4848
HOSP00068,General Hospital,237 Main St,Houston,MI,12899,974,Psychiatric,4.0,Joint Commission,(873) 140-5307
HOSP00069,St. Mary Medical Center,375 Park St,Phoenix,GA,88198,171,Community,4.4,,(305) 420-8723
HOSP00070,City Health Clinic,1354 Oak Ave,,OH,49475,733,Rehabilitation,2.8,CARF,(793) 496-3310
HOSP00071,St. Mary Medical Center,7028 Hill St,New York,VA,28032,664,Community ,3.1,,(331) 504-1588
HOSP00072,Valley View Hospital,5281 Oak St,Chicago,MI,96119,1057,Rehabilitation,4.3,JCI,(275) 442-9745
HOSP00073,Regional Medical Center,229 Lake St,Phoenix,TX,85875,678,Rehabilitation,4.9,JCI,(505) 482-2447
HOSP00074,Mercy Hospital,9592 Elm Ave,New York,TX,53554,,Trauma Center,3.5,joint commission,(908) 387-7588
HOSP00075,GENERAL HOSPITAL,802 Elm Ave,New York,GA,94471,278,Trauma Center,2.7,None,
HOSP00076,Regional Medical Center,7843 Park Ave,New York,CA ,,616,Trauma Center,3.3,None,(966) 713-7419
HOSP00077,Metro Medical Center,4660 Lake Ave,Houston,NJ ,73294,1060,Rehabilitation,5.0,,
HOSP00078,LAKESIDE HEALTH,8975 Main St,Los Angeles,PA,52464,905,Psychiatric,4.2,Joint Commission,(660) 117-1502
HOSP00079,Community Hospital,3516 Lake Ave,Houston,NJ,45325,396,Specialty,3.8,CARF,
HOSP00080,Regional Medical Center,7724 Elm St,New York,WA ,14523,762,Specialty,2.5,None,(231) 779-6624
HOSP00081,General Hospital,9371 Hill Ave,Chicago,OH,34207,172,Psychiatric,4.1,CARF,(505) 328-8781
HOSP00082,Mercy Hospital,5588 Oak St,,MI,73703,,Teaching,4.0,None,(354) 746-8025
HOSP00083,Community Hospital,2718 Elm Ave,Houston,TX,28918,942,Trauma Center,4.2,Joint Commission,(854) 273-4435
HOSP00084,City Health Clinic,1420 Oak Ave,Dallas,NY,39347,375,Trauma Center,4.7,,(925) 295-9929
HOSP00085,St. Mary Medical Center,9538 Main St,Phoenix,VA,98674,703,Trauma Center,3.5,CARF,(408) 251-5422
HOSP00086,Mercy Hospital,8067 Main Ave,New York,NY,70437,626,General,4.1,CARF,(782) 821-2709
HOSP00087,Mercy Hospital,8906 Lake St,Chicago,OH,88339,835,Specialty,2.7,,(993) 688-9946
HOSP00088,Metro Medical Center,4423 Elm St,Los Angeles,NC,75784,,Trauma Center,n/a,joint commission,(895) 478-5257
HOSP00089,Lakeside Health,4172 Lake St,New York,TX,17445,169,Rehabilitation,2.3,None,(399) 463-1952
HOSP00090,Valley View Hospital,8820 Main Ave,Dallas,OH,59962,,Teaching,4.8,joint commission,(318) 868-5521
HOSP00091,Mercy Hospital,9265 Hill St,Houston,NY,90639,381,Specialty,4.7,JCI,(218) 237-4968
HOSP00092,General Hospital,6235 Park St,Dallas,IL,25874,1199,Community,2.6,None,(493) 925-3988
HOSP00093,Sunrise Medical,451 Elm St,Dallas,MA,82425,585,Teaching,3.7,CARF,(351) 771-6252
HOSP00094,Lakeside Health,2171 Elm Ave,Phoenix,VA,86358,1011,Community,3.9,CARF,(402) 829-4018
HOSP00095,Sunrise Medical,7694 Elm St,Phoenix,MI,34903,,General,3.9,DNV,(603) 142-4252
HOSP00096,Lakeside Health,7371 Elm St,Houston,OH,18241,1082,Specialty,1.6,,(372) 265-8376
HOSP00097,General Hospital,6811 Hill St,Phoenix,FL,50088,819,Trauma Center,1.3,,(975) 482-6618
HOSP00098,City Health Clinic,9865 Park Ave,New York,MI,40104,860,General,4.8,joint commission,(467) 598-2806
HOSP00099,Community Hospital,5780 Elm St,Dallas,GA,76260,275,Teaching,1.8,,
HOSP00100,City Health Clinic,7622 Hill St,New York,NC,23361,582,,4.0,,(284) 510-2235
HOSP00101,Metro Medical Center,9921 Park Ave,New York,IL,27785,364,Community,n/a,DNV,(570) 257-3151
HOSP00102,General Hospital,9259 Hill St,Phoenix,,98499,731,Psychiatric,,,(972) 317-4180
HOSP00103,Regional Medical Center,1728 Elm Ave,Phoenix,WA,18885,1047,General,2.6,,(286) 468-1565
HOSP00104,,7645 Lake St,Houston,GA,61843,688,Trauma Center,N/A,Joint Commission,(262) 140-8663
HOSP00105,Valley View Hospital,202 Park St,Houston,NC,30548,83,Trauma Center,3.0,,(849) 945-1877
HOSP00106,Community Hospital,7866 Elm Ave,Houston,,23341,403,Psychiatric,3.2,,(423) 652-4653
HOSP00107,Mercy Hospital,1856 Elm Ave,Chicago,NY,93687,300,Trauma Center,3.0,DNV,(346) 993-8937
HOSP00108,Lakeside Health,7448 Hill Ave,New York,NY,21413,1178,Specialty,3.4,Joint Commission,(314) 688-3730
HOSP00109,City Health Clinic,6412 Elm Ave,Dallas,OH,32162,200,Community,,,(809) 809-3910
HOSP00110,,2976 Park Ave,Dallas,NY,32077,531,Specialty,,JCI,(978) 478-9967
HOSP00111,Metro Medical Center,4065 Park Ave,Dallas,WA,65445,255,Community,4.2,None,(761) 807-2333
HOSP00112,Regional Medical Center,1411 Elm St,Phoenix,NJ,19742,373,Community,4.5,None,(584) 318-5865
HOSP00113,St. Mary Medical Center ,9778 Elm St,Phoenix,MI,67638,1012,Psychiatric,1.8,None,(658) 176-2218
HOSP00114,Metro Medical Center,3591 Hill St,Dallas,TX,22265,345,Teaching,2.2,,(628) 255-9406
HOSP00115,General Hospital,7087 Hill Ave,Houston,WA,32963,692,Specialty,1.8,None,(542) 324-7496
HOSP00116,Regional Medical Center,8182 Main St,Chicago,MA,83270,661,Teaching,4.1,Joint Commission,(334) 223-7935
HOSP00117,St. Mary Medical Center,858 Main St,Dallas,CA,45698,424,Specialty,1.8,CARF,(811) 543-3073
HOSP00118,Valley View Hospital,2690 Main Ave,Chicago,,29848,130,,4.0,joint commission,(471) 556-2588
HOSP00119,St. Mary Medical Center,9181 Elm St,Dallas ,WA,46344,111,Teaching ,1.8,JCI,(427) 888-9149
HOSP00120,Valley View Hospital,2715 Lake Ave,New York,FL,58023,1133,General,4.7,None,
HOSP00121,Sunrise Medical,5477 Main Ave,Dallas,NY,,872,Teaching,2.8,CARF,(992) 577-1295
HOSP00122,St. Mary Medical Center,1635 Park Ave,Houston,,92128,339,Trauma Center,1.7,DNV,(284) 671-6142
HOSP00123,Metro Medical Center,5437 Elm Ave,Phoenix,IL,37636,120,Specialty,1.3,JCI,(887) 210-3370
HOSP00124,Regional Medical Center,4216 Oak St,,GA,33315,999,Specialty,4.6,DNV,(244) 289-9309
HOSP00125,Valley View Hospital,6712 Main Ave,Dallas,MI,12559,94,,2.0,None,(337) 308-3114
HOSP00126,City Health Clinic,7258 Oak St,Houston,MI,27128,1199,Psychiatric,4.2,None,(857) 812-4806
HOSP00127,,1582 Hill Ave,Los Angeles,NY,18643,754,Community,4.0,Joint Commission ,
HOSP00128,Regional Medical Center,380 Oak St,Houston,FL ,27760,359,General,4.3,DNV,(421) 643-5477
HOSP00129,General Hospital,1713 Lake St,Chicago,VA,96914,250,Rehabilitation,1.9,,(760) 276-7567
HOSP00130,General Hospital,9914 Hill Ave,Houston ,TX,39653,597,Teaching,2.6,JCI,(841) 407-5623
